,pval,ptot,ols,log2fc_overall,log2fc,log10p,log10t
PE(O-35:3),0.13258380510717716,0.020852664026710495,0.1325838051071774,-1.6883031244181081,-0.58483730843032,0.8775095210453233,1.6808384539663614
PE(O-36:6),0.8650529397830358,0.5222924666729183,0.865052939783037,-0.5652194861774702,-0.21744929659466194,0.06295731363101,0.28208623819895606
PE(O-36:5),0.10431893978462753,0.17228194434337912,0.10431893978462774,-0.3979896175582578,-0.2833359242699762,0.9816368354160823,0.7637602355115068
PE(O-36:4),0.04466871357617266,0.002520834605325913,0.04466871357617286,-0.8949134900606266,-0.260160065825894,1.349996554687651,2.598455647917629
PE(O-36:3),0.007621753628859301,0.004333888401778385,0.007621753628859336,-0.7228847897159962,-0.29526530106216686,2.1179450937895434,2.36312227601478
PE(O-36:2),0.008511728273085356,0.003595291609661473,0.008511728273085379,-0.6314549775448008,-0.42013981849986637,2.0699822491683,2.4442658787635128
PE(O-37:5),0.05304174791241744,0.1900534299082778,0.053041747912417544,-0.375271059533441,-0.8201383375540363,1.275382172834619,0.7211242882455813
PE(O-38:7),0.9470936847335495,0.5116591525372892,0.947093684733551,-0.21711147786375573,0.01759450055609335,0.023607059275054378,0.29101925282610647
PE(O-38:6),0.09493371499634404,0.01670891850696833,0.09493371499634447,-0.6416205997404303,-0.2798903702632378,1.0225795237526705,1.7770516591225205
PE(O-38:5),0.07823858374868572,0.05979181949626167,0.07823858374868585,-0.604682497328425,-0.455652584736848,1.1065790196174086,1.2233582305711008
PE(O-38:4),0.04608445110129509,0.04521819616349058,0.046084451101295186,-0.7004109336931266,-0.4388640818019285,1.3364455809005251,1.3446867664459365
PE(O-38:3),0.3571043750109598,0.009386718998872685,0.3571043750109587,-0.7199919490132369,0.12337562898645182,0.4472048290805896,2.0274861829933792
PE(O-38:2),0.7199654642308075,0.005377926705658442,0.71996546423081,-2.9061120384173376,-0.04574067563853734,0.14268833558778202,2.2693851209570837
PE(O-39:7),0.15311888161663803,0.7076097701105424,0.15311888161663856,-0.16731609325383023,-0.3759145441764542,0.8149712516511957,0.15020617932957947
PE(O-39:6),0.03745341751608837,0.11042052891597924,0.03745341751608843,-1.2361652817062443,-0.6100925244088201,1.426508548040294,0.9569501769138571
PE(O-40:8),0.6670251605690447,0.7194003762186378,0.6670251605690434,-0.032366039774921695,0.146735446914394,0.17585778393921278,0.14302933939819204
PE(O-40:7),0.4429486105787651,0.5580886366866662,0.44294861057876717,-0.13196647477683054,-0.06229841629149213,0.3536466562524579,0.25329682011820426
PE(O-40:6),0.06604902421575534,0.07931914737056343,0.0660490242157557,-0.43537053922285107,-0.20647065564170486,1.1801335941106703,1.100621962825908
PE(O-40:5),0.2742727243368699,0.03449173295616871,0.27427272433687055,-0.5665097761420834,-0.2393866215727818,0.5618173796319914,1.4622849849775066
PE(O-40:4),0.18742975870000966,0.03475322750573702,0.18742975870000933,-1.3758955880999804,0.5456243658253984,0.727161453932994,1.459004856603564
PE(O-40:3),0.21997289148225746,0.00028695050174403104,0.21997289148225696,-2.379078762895679,0.3188164939449648,0.657630836473568,3.54219301153569
PE(O-40:8) [M+OH]-,0.9223799786079336,0.025009611368804228,0.9223799786079346,1.492359545796034,0.11069683171683731,0.03509013250700825,1.601893056837877
PE(O-42:8),0.21736742933774017,0.7038154397606775,0.21736742933773964,0.12584023297181857,0.34118237113210365,0.6628055307125204,0.1525412101786978
PE(O-42:7),0.07731800484540705,0.3299961962587792,0.07731800484540685,-0.21894010920728535,0.36761611724827037,1.1117193612628558,0.481491066041335
PE(O-42:6),0.5594501339198503,0.10038719237597955,0.5594501339198494,-0.4388745850403448,0.10795277489125321,0.25223861785517276,0.9983216919245395
PE(O-42:5),0.6248205209270358,0.002852624730113428,0.6248205209270342,-2.486108148938319,0.10021305472019093,0.20424471539992464,2.544755357105822
PE(O-42:4),0.07804669286244127,0.0024475144606630706,0.07804669286244116,-2.926545256266041,0.46423972838160765,1.1076454949336891,2.6112747335727824
PE(O-44:7),0.23936145609518444,0.03606112402116663,0.23936145609518403,-0.8768362724961152,0.4763627904420039,0.6209457818864036,1.442960740492645
PE(O-44:6),0.3864785524774997,0.07137983191264716,0.38647855247749924,-1.4056295669583636,0.26900256024409086,0.4128746021314818,1.1464244790687272
PI(34:2),0.26257589185104857,0.5885566545159149,0.26257589185104896,0.03484705503942931,-0.21332601035955645,0.5807451507396539,0.2302117255828722
PI(34:1),0.014174775310601408,0.5727434404239444,0.014174775310601408,0.0368436329234485,-0.5165011737553136,1.8484838165365969,0.24203987604340632
PI(36:4),0.07847995437326954,0.9287099680782029,0.07847995437326957,-0.01638092590143536,-0.5869681916766709,1.1052412581184625,0.032119893034796544
PI(36:3),0.07358855276618677,0.3386130130060874,0.07358855276618705,-0.4242055709995649,-0.19329967905696743,1.1331897380691895,0.470296355830919
PI(36:2),0.7712029614063083,0.977130740243546,0.7712029614063057,-0.12651581801993972,0.020247598482765916,0.11283131141856977,0.010047323724835395
PI(36:1),0.356618656472964,0.4864610597774217,0.35661865647296515,-0.40208751051414504,-0.1633714819538845,0.44779594048955346,0.31295191839796926
PI(38:5),0.07396302933884066,0.3205622247649957,0.0739630293388408,-0.28013472406914697,-0.3434886943251836,1.1309853095436972,0.49408765647563013
PI(38:4),0.20573413017894346,0.9856038462820058,0.20573413017894368,-0.07735872693384227,-0.2911045783642141,0.6866936552239769,0.006297610358432645
PI(38:3),0.7931038478526357,0.32622361211576417,0.7931038478526339,-0.7205688165433501,0.039044405334585974,0.1006699430776945,0.4864846078559567
PI(40:6),0.8150633042076268,0.9218915970139013,0.8150633042076252,-0.18384270116702522,0.005552413509181897,0.08880865923501988,0.03532014357383029
PI(40:5),0.11841265415139675,0.7625521338929285,0.11841265415139712,-0.6140994005857147,-0.2740048946902235,0.9266018843152143,0.1177304592755639
Cer(d32:1),0.45693171877001254,0.059344509165449026,0.4569317187700208,0.3168244925917,-0.024787637059113188,0.3401486935340094,1.2266194578292244
Cer(d34:1),0.4801307216854291,0.011636492045018237,0.4801307216854315,0.5147057204963765,-0.08194007829652605,0.3186405043378785,1.934177923045617
Cer(d36:1),0.6537950147794729,0.0042986475277970405,0.6537950147794722,1.2431223145743298,0.06841538566009897,0.1845583952607283,2.3666681638637894
Cer(d37:1),0.4634185832293506,0.18867870095061615,0.46341858322935103,0.16047166307533403,-0.1416602750406367,0.33402655485302624,0.7242771225255581
Cer(d38:1),0.27378539734784124,0.0028735168858194425,0.27378539734784213,0.7262036621643899,-0.16759644507998184,0.5625897191690689,2.5415862464521006
Cer(d39:1),0.22620437668381072,0.481042157383757,0.22620437668381124,0.12569625569768506,-0.3452372099349603,0.6454989964431032,0.31781686142898
Cer(d40:2),0.0642790302867103,0.0023496209128195575,0.06427903028671052,0.7180712371968521,-0.476412460831215,1.1919306836247385,2.6290022010265757
Cer(d40:1),0.21013478181996562,0.9768103832590591,0.21013478181996598,-0.09410236117967319,-0.24213013967720265,0.6775020565789787,0.010189732592917404
Cer(d40:0),0.9179663887633457,0.8748917974759425,0.9179663887633472,-0.22185656651176222,-0.05831943891653735,0.03717322015152729,0.05804565516610601
